歴史と	できごと
脳スキャンによって	生まれた
データを	処理する
ソフトウェアを	開発している
Googleが	管理している
1ゼタバイトに	達する
マックスプランク研究所と	始め
共同研究を	始め
電子顕微鏡写真から	研究している
再構成を	研究している
仕組みを	取り入れる
AIに	取り入れる
方向性から	進めている
発展アプローチまで	進めている
基礎研究を	進めている
AI研究所を	設置し
設置し	提携している
DeepLearning.AIと	提携している
第13次5か年計画から	位置づけ
AIを	位置づけ
国家プロジェクトに	位置づけ
40]、脳研究プロジェクトとして	推進している
中国脳計画	立ち上げ[
英語版も	立ち上げ[
41]、官民一体で	推進している
研究開発を	推進している
教育機関では	よれば
天才児を	集めて
開発に	投じられてもいる
英語版などに	よれば
中国では	あると
欧米と	比較して
比較して	あると
実験を	しやすい
環境に	あると
44][45][46]。日本で	推進している
研究開発を	推進している
齊藤元章も	リードする
開発において	リードする
中国が	リードする
可能性を	主張している
4分の3は	占めてると
中国が	占めてると
[48]。米国政府に	よれば
2013年から	あった
論文数では	あった
中国が	なっている
米国を	超えて
世界一と	なっている
大会でも	独占している
中国勢が	独占している
上位を	独占している
幹部でも	あった
中国が	握りつつあると
AIで	握りつつあると
覇権を	握りつつあると
英語版を	著して
メディアなどが	取り上げ
人工知能冷戦	呼ばれた
英語版とも	呼ばれた
フランス大統領エマニュエル・マクロンは	招致した
開発支援に	向け
5年で	支出すると
15億ドルを	支出すると
支出すると	宣言し
宣言し	開き
55]、AI研究所を	開き
パリに	開き
富士通などを	招致した
招致した	決定されている
連携も	決定されている
EU全体としても	作られた
215億ユーロが	投じられる
方向	する
韓国は	する
2022年までに	する
投資を	する
AI機関を	設立し
設立し	作られた
褒賞制度も	作られた
日経新聞調べに	よると
AI研究論文数は	進めてきた
日本は	進めてきた
はじめ	進めてきた
民間企業が	進めてきた
技術開発を	進めてきた
基礎研究では	切っていた
先陣を	切っていた
深層学習再興には	乗り遅れたという
指摘が	ある
スターゲートを	設立し
設立し	就任し
孫が	就任し
会長に	就任し
就任し	投資し
約15.5兆円を	投資し
投資し	発表した
テキサス州に	使う
AI開発に	使う
建設を	発表した
予定と	発表した
その後に	展開し
他地域にも	展開し
展開し	増やす
4年間で	増やす
投資額を	増やす
最大で	増やす
77.8兆円に	増やす
パートナーシップおよび	提供してゆく
世界に	提供してゆく
さきがけ日本国内で	提供してゆく
ことを	発表した
人工知能が	して
爆発的に	成長する
ために	役立つ
考え方も	重要になっている
以上に	重要になっている
深層学習は	活用されている
特化型AI	活用されている
ArtificialNarrowIntelligenceANIとして	活用されている
領域で	活用されている
以下に	列挙するのは
タンパク質の	折り畳みの
摩擦パラメータ推定	すべり量
発生サイクルを	学習させる
論文公開特許から	抽出し
製法を	抽出し
抽出し	知識ベース化できる
偏りを	もたらした
画像分類CNNを	使用した
第一原理計算(DFT計算)よりも	再現できる
原子構造を	再現できる
精度で	再現できる
原子シミュレーターを	用いた
方程式を	使わない
解決	再現しない
科学論文に	しても
意図的に	しても
嘘	しても
再現実験を	しても
ことが	書かれている
場合に	見抜く
それを	見抜く
医療現場では	活用されており
AIが	活用されており
画像診断と	言われている
異常部分を	検知する
ことで	役立っている
見逃し発見と	役立っている
早期発見に	役立っている
AIが	解析できる
問診結果などを	解析できる
よう	進んでいる
発展も	進んでいる
開発などが	行える
よう	期待されている
保護が	重要になる
ため	行われている
データを	暗号化した
状態で	行う
統計解析を	行う
秘密計算技術に	活用して
AIを	活用して
活用して	行える
推論を	行える
ことを	目指す
研究が	行われている
逆に	寄与している
今	寄与している
理解に	寄与している
AIを	搭載した
収穫ロボットを	導入する
ことで	可能になる
負担を	減らしたり
病害虫が	発生している
個所を	見つけだして
AIで	見つけだして
ポイントで	見つけだして
農薬散布量を	抑えたりする
必要最小限に	抑えたりする
ことが	可能になる
AIで	予測できれば
事前に	予測できれば
収穫量を	予測できれば
正確に	予測できれば
調整にも	役立つ
成長記録を	行う
個体識別を	行い
成長記録を	とり
実験を	繰り返す
ことで	学習し
学習し	見るだけで
苗を	見るだけで
ひと眼	見るだけで
環境下でも	耐えられる
気候変動に	見つけ出せる
種を	見つけ出せる
瞬時に	見つけ出せる
国連が	推進する
達成に	貢献する
秋に	公開されて以来
ChatGPTが	公開されて以来
公開されて以来	可能になった
人と	会話して
会話して	援助する
人を	援助する
ことが	可能になった
生成AIは	模倣しようとするが
人間を	模倣しようとするが
返答を	生成させるには
人間が	する
言葉で	する
指示を	する
指示を	作文する
生成AIが	機能する
期待どおりに	機能する
よう	作文する
入力テキストを	作文する
創造性と	試行錯誤する
ことも	含まれる
信頼性が	向上する
人工知能によって	向上する
可能性が	示された
安全に	入れる
人工知能を	入れる
欧州連合で	注目されている
継続的に	注目されている
発達にも	寄与している
2021年から	運行しており
カリフォルニア州サンフランシスコで	運行しており
自動運転タクシーを	運行しており
運行しており	開始していた
[91]、同じく	開始していた
カリフォルニア州で	開始していた
4月には	開始していた
運行を	開始していた
開発企業が	保有していた
試験許可を	保有していた
状態だったが	遅れぎみだが
企業が	成功して
資金調達に	成功して
成功して	突き放し
他社を	突き放し
その上で	完了した
実験段階も	完了した
ことで	遅れぎみだが
2024年には	激減し
実験走行は	激減し
激減し	遅れぎみだが
時代に	入っている
[93]。日本は	遅れぎみだが
遅れぎみだが	成功した
4月に	解禁され
一定条件下で	自動化した
完全に	自動化した
走行が	解禁され
一部で	解禁され
解禁され	成功した
福井県永平寺町では	成功した
実証実験に	成功した
2023年現在	用いた
人工知能を	用いた
サービスが	浸透してきている
日常生活に	浸透してきている
浸透してきている	なっている
アシスタント機能は	なっている
サービスと	なっている
AIスピーカーも	普及してきている
普及してきている	ある
人工知能は	ある
把握などにも	応用されている
[39]。しか	し
AIアルゴリズムは	ある
後に	呼ばれなくなる
AIと	呼ばれなくなる
傾向が	ある
これをAI効果と	呼ぶ
ことも	ある
音楽分野は	登場している
曲を	学習する
ことで	登場している
作風を	真似て
自動作曲ソフトが	登場している
登場している	している
リズムゲームに	使われる
タッチ位置を	示した
譜面を	自動生成するなど
楽曲から	自動生成するなど
自動生成するなど	特化した
分野に	特化した
システムも	開発されている
音声を	学習させて
学習させて	代替したり
仕事を	代替したり
代替したり	歌わせたりなどが
声で	歌わせたりなどが
必要性が	議論されている
[	97][98][99]。前述した
音声学習を	用いて
トラックから	取り出す
歌声を	取り出す
デミックスと	呼ばれる
技術も	登場し
登場し	している
ビートルズなどは	している
これを	活用して
活用して	リミックスして
楽曲を	リミックスして
リミックスして	作成したり
ステレオミックスを	作成したり
作成したり	破棄されたり
101][102]、セッションテープが	破棄されたり
破棄されたり	あり
音源に	あり
欠落が	あり
モノラルしか	存在しなかった
ステレオ化を	するなど
2023年に	発表した
ビートルズが	発表した
ジョン・レノンが	録音した
1970年代に	録音した
カセットテープから	抽出するのに
ボーカルを	抽出するのに
抽出するのに	使われた
技術としては	存在する
拡散モデルといった	分けて
三種類が	存在する
作業を	補助する
AIが	実現している
105][106][107]。AIに	指定した
自然言語で	指定した
指定した	イラスト生成させる
サービス	登場している
StableDiffusionなども	登場している
人工知能を	利用して
利用して	制作された
人工知能アート(Artificialintelligenceart)」と	呼ばれているが
教師データとして	利用された
知的財産権などを	巡り
懸念が	広がっている
保護にも	応用されている
[39]。学術的に	構造化された
文献レビューとして	される
証拠と	される
ために	発表できなかった
問題を	考慮した
見方を	提供する
ことに	加え
自然言語処理機能を	用いた
分析を	行う
ことで	解決しようと
危機を	解決しようと
解決しようと	試みている
将棋AIは	生み出しているが
対局から	学習して
学習して	生み出しているが
戦法を	生み出しているが
感覚では	指すと
不可解ながら	指すと
パフォーマンスを	予測するのに
予測するのに	役立つ
メタ分析に	よれば
AIが	行う
意思決定を	行う
2020年時点では	注目されておらず
学術界では	注目されておらず
研究が	なっていた
中心と	なっていた
危険を	懸念する
声が	存在するが
116][117][118][119]、一方で	促進する
平和を	促進する
応用も	存在する
中には	借りてこそ
人間を	理解する
能力を	借りてこそ
テクノロジーは	できると
人類に	できると
貢献が	できると
ものも	ある
2000年代は	導入されていった
統計的機械学習によって	導入され
アプリケーションが	導入され
企業に	導入され
導入され	導入されていった
2013年以降は	導入されていった
深層学習を	した
中核と	した
画像認識アルゴリズムが	導入されていった
分類業務に	導入されていった
現在まで	確認され
顕著に	確認され
確認され	成熟した
導入事例は	以下のようになっている
AI事例を	列挙する
簡潔に	列挙する
)　しか	し
以下を	見て
コミュニケーションが	要求される
LSTMを	使用した
ニューラルネットを	使用した
構文予測技術を	応用した
特化型AIを	連結させた
個々人に	最適化した
そのほか	用いられてきた
文化そのものを	分析し
分析し	解読する
作業にも	用いられてきた
特化型AIが	用いられてきた
AIが	もたらす
結論は	与えており
未来は	向かうのだろうかと
どちらへ	向かうのだろうかと
向かうのだろうかと	述べて
次のように	続けた
科学技術は	与えており
社会へ	与えると同時に
好影響を	与えると同時に
階級へ	与えており
悪影響を	与えており
悪影響を	抑える
最小限に	抑える
ために	投資するのが
[17]。論理的限界まで	改良された
AIが	脅かす
革命的技術と	違って
至高性を	脅かす
可能性も	ある
文で	締めくくられた
結論として	発達したが
AIは	発達したが
中で	発達したが
われわれは	分からないが
先までしか	分からないが
ことが	残っているのは
残っているのは	分かる
展望については	重要になる
138][139]から	学習して
学習して	解決する
課題を	解決する
苦手なので	重要になる
138][139]、2024年は	重要になる
開発が	重要になる
重要になる	予想される
理解に	取り組む
人工知能は	予想される
状況に	対応する
ことが	予想される
予想される	期待される
成功も	期待される
拡大を	防ぐ
ために	広がっている
学習データにも	取り組む
動きが	広がっている
世界的に	広がっている
人工知能には	ある
リスクが	ある
人工知能は	進歩させ
科学を	進歩させ
進歩させ	繋がる
解決策に	繋がる
可能性が	ある
141]。しか	し
使用が	広まるにつれて
いくつかの	意図しない
存在が	明らかになった
システムにおいては	ある
訓練過程において	考慮されない
バイアスが	考慮されない
ことが	ある
場合に	当てはまる
第1次ブームで	登場した
第2次ブームで	登場した
パラダイムに	基づく
AIは	扱えなかった
現実世界と	比して
問題しか	扱えなかった
ため	持つ
社会的には	持つ
影響力を	持つ
144][145]が	登場してから
ブームでは	登場してから
AIが	登場してから
共生方法等も	議論されるようになった
影響	左右するような
セーフティクリティカル	左右するような
安全を	左右するような
サイバーセキュリティを	挙げている
倫理的課題についても	論じている
必要である	引き起こしている
データを	取得する
ために	使用される
手法は	引き起こしている
懸念を	引き起こしている
ユーザーから	収集している
データを	収集している
音声認識アルゴリズムを	構築する
会話を	録音し
録音し	書き起こす
一時	書き起こす
労働者に	書き起こす
内容を	書き起こす
ことを	許可した
必要悪と	見なす
人から	考える
侵害であると	考える
者まで	分かれている
AI開発者は	主張している
手法が	主張している
価値の	ある
アプリケーションを	提供する
方法であると	主張している
主張している	見始めている
データアグリゲーション	取得しながら
データを	取得しながら
取得しながら	保護する
プライバシーを	保護する
手法が	開発された
154]。2016年以降	見始めている
プライバシー専門家は	見始めている
プライバシーを	見始めている
観点から	見始めている
何を	知っているかという
問題から	移したと
それを	使って
何を	しているかという
問題に	移したと
軸足を	移したと
チャットボットに	吐露する
ユーザーが	吐露する
悩みを	吐露する
危険性が	指摘されている
今までも	あり
テック企業は	あり
個人情報を	収集して
収集して	利用した
ターゲティング広告に	利用した
前科が	あり
追跡が	可能になる
最適化に	繋がりかねず
交流に	没頭して
没頭して	至った
自殺に	至った
事例が	ある
AI利用に対しては	指摘されている
リスクが	指摘されている
データは	保存されるが
サーバに	保存されるが
工作員が	潜入する
企業に	潜入する
可能性は	否定できず
データを	盗み取る
出力結果を	操作して
操作して	及ぼす
政策等に	及ぼす
悪影響を	及ぼす
リスクが	ある
生成AIは	使用される
領域を	含む
ライセンスを	取得せずに
取得せずに	保護された
著作権で	保護された
作品で	トレーニングされる
出力は	使用される
法理を	使用される
根拠に	使用される
使用される	分かれている
間では	分かれている
論理が	通用するかについて
法廷で	通用するかについて
程度	通用するかについて
状況で	通用するかについて
通用するかについて	分かれている
意見が	分かれている
法理には	含まれる
著作権で	保護された
著作権で	保護された
影響が	含まれる
可能性が	ある
157][158]。コンテンツが	スクレイピングされる
ことを	望まない
robots.txtファイルで	示す
旨を	示す
ことが	できる
OpenAIを	訴えた
著作権侵害で	訴えた
ジョナサンフランゼンを	含む
著者が	加わった
原告に	加わった
下旬に	提訴した
同社を	提訴した
訓練は	依存しており
創作物に	依存しており
ないまま	抑圧する
技術革新を	抑圧する
形で	侵害する
利益を	侵害する
可能性が	明言されている
構築を	確実にする
ことにより	促す
AIシステムを	訓練する
創出を	促す
可能性についても	言及している
2月	出された
無許諾利用を	巡る
著作権侵害訴訟で	出された
フェアユースを	認めず
著作権侵害を	認定する
判決が	出された
子会社が	運営する
プラットフォームに	掲載された
著作物を	利用した
AI企業が	スクレイピングして
訓練目的で	スクレイピングして
スクレイピングして	利用した
ことを	訴えた
うち	認め
2つで	認め
侵害を	認め
利用の	及ぼす
影響を	重視した
AIを	訓練する
データ市場を	挙げ
十分である	負う
被告は	負う
立証責任を	負う
市場が	存在せず
存在せず	受けない
原告が影響を	受けない
ことを	示す
事実は	提示されていないと
提示されていないと	明言している
性格については	認定した
商業的であり	認定した
ため	認定した
変容的ではないと	認定した
AI企業の	意図した
市場で	競合する
市場に	与えると
影響を	与えると
無許諾で	利用する
著作物を	利用する
訓練データとして	利用する
成立を	難しくする
ものと	され
生成AI事業者を	含め
打撃に	なる
ものであると	考えられている
10月に	リリースされた
Sora2で	生成された
著名作品に	酷似した
動画が	生成された
民放各社などが	加盟する
合同で	抗議する
無断学習に	抗議する
声明を	提出した
OpenAIに	提出した
主に	対応する
コンテンツを	しない
無許諾で	しない
学習対象と	しない
こと	対応する
生成物に	関連する
申立て相談に	対応する
真摯に	対応する
ことなどを	求めた
コンテンツを	取り込んだ
学習データとして	取り込んだ
ことにより	生成されているとして
キャラクターが	生成されているとして
生成されているとして	複製しており
過程で	複製しており
著作物を	複製しており
複製しており	該当し得ると
著作権侵害に	該当し得ると
該当し得ると	指摘している
内容を	吐き出すだけの
常習的に	吐き出すだけの
歴史的に	見ても
それに	対応する
必要であると	している
詭弁として	学んでおり
人間も	学んでおり
作品から	学んでおり
機械にだけ	禁止する
ものが	ある
発展に	伴って
ものであり	存在しなかった
15世紀に	発明され
活版印刷が	発明され
発明され	存在しなかった
前には	存在しなかった
当時でも	複製する
形式で	複製する
本を	複製する
ことは	できたが
新技術により	量産され
印刷業者により	量産され
コピーが	量産され
量産され	損なわれるのを
権利が	損なわれるのを
過度に	損なわれるのを
損なわれるのを	防ぐ
ために	設けられた
肖像を	する
始めと	する
無許諾利用を	規制する
必要であり	求められるべきであり
それには	求められるべきであり
許可ではなく	求められるべきであり
同意が	求められるべきであり
範囲を	伝えられた
上であるべきと	している
Facebookなどは	使用している
ユーザーを	誘導する
コンテンツに	誘導する
ために	使用している
レコメンダシステムを	使用している
ユーザーエンゲージメントを	最適化するという
目標が	与えられた
目標は	視聴し続けてもらう
ユーザーに	視聴し続けてもらう
ことだった	推薦した
人工知能は	推薦した
ユーザーが	誤
陰謀論	選ぶ
極端に	選ぶ
コンテンツを	選ぶ
傾向が	ある
ことを	学習し
学習し	視聴し続けてもらう
ユーザーに	視聴し続けてもらう
ために	推薦した
人工知能は	推薦した
それを	推薦した
ユーザーは	あった
コンテンツを	見る
多く	見る
傾向も	あった
人工知能は	信じ込み
ユーザーを	導き
フィルターバブルに	導き
情報を	支持する
コンテンツを	繰り返し
173]。これにより	信じ込み
ユーザーが	誤
真実であると	信じ込み
最終的には	損なわれた
信頼が	損なわれた
[174]。人工知能は	学習していたが
目標を	最大化する
ことを	学習していたが
有害であった	講じた
米国大統領選挙後	講じた
ビックテックは	講じた
問題を	緩和する
措置を	講じた
2022年	作成できるようになった
生成AIにより	つかない
人間の	作成した
物と	つかない
区別が	つかない
文章を	作成できるようになった
悪意の	ある
人物が	使用して
技術を	使用して
使用して	作成する
プロパガンダを	作成する
可能性が	ある
人工知能によって	可能にする
指導者が	操作する
選挙民を	操作する
大規模に	操作する
ことを	可能にする
リスクについて	表明した
懸念を	表明した
1月	発信した
ジョーバイデンは	発信した
退任演説で	発信した
ソーシャルメディアを	運営する
政治家が	結託すれば
結託すれば	発信した
暴走を	招き
脅威と	なるとの
メッセージを	発信した
人工知能を	推進する
英語版が	指摘した
アイゼンハワーが	批判した
軍産複合体と	もたらす
脅威を	もたらす
可能性を	指摘した
ため	至ったのかを
設計者は	至ったのかを
どのようにして	至ったのかを
決定に	至ったのかを
至ったのかを	説明する
ことが	できない
ディープニューラルネットワークでは	ある
間に	ある
非線形関係が	ある
説明可能性技術も	存在する
プログラムが	機能するかを
どのように	機能するかを
機能するかを	知らないと
正確に	知らないと
正常動作を	確認する
不可能である	ある
機械学習プログラムが	合格したにもかかわらず
テストに	合格したにもかかわらず
合格したにもかかわらず	異なる
意図とは	異なる
ことを	学習した
ケースは	ある
人工知能システムは	識別できると
皮膚疾患を	識別できると
医療専門家よりも	識別できると
正確に	識別できると
識別できると	されたが
スケールの	含まれる
画像を	分類する
がんと	分類する
ことが	判明した
画像に	含まれている
通常	含まれている
大きさを	示す
スケールが	含まれている
180]。医療資源を	配分する
効果的に	配分する
ために	設計された
機械学習システムは	判明した
喘息に対し	判明した
喘息患者を	死亡する
肺炎で	死亡する
死亡する	分類する
ことが	判明した
判明した	判明した
これは	判明した
医療を	受ける
ため	判明した
訓練データに	よると
ことが	判明した
事実でも	招く
誤解を	招く
決定によって	受けた
被害を	受けた
場合には	求められている
説明を	受ける
権利が	ある
182]。たとえば	求められている
医師は	求められている
自分が	下した
背後に	ある
理由を	説明する
完全に	説明する
ことが	求められている
2016年	明文化されていた
初期草案には	明文化されていた
存在が	明文化されていた
明文化されていた	指摘した
専門家は	指摘した
問題であると	指摘した
指摘した	ある
規制当局は	ある
現実であり	ある
ないのであれば	使用すべきではないと
使用すべきではないと	主張した
[183]。国防高等研究計画局は	ある
問題を	解決する
ために	設立した
2014年に	設立した
人工知能プログラムを	設立した
問題には	ある
解決策が	ある
寄与を	視覚化する
ことで	試みた
解決を	試みた
モデルで	近似する
モデルを	近似する
局所的に	近似する
ことが	できる
186]。マルチタスク学習	提供する
英語版は	提供する
ターゲット分類に	加えて
出力を	提供する
開発者が	推測するのに
ネットワークが	学習したかを
何を	学習したかを
学習したかを	推測するのに
推測するのに	役立つ
[	187]。逆畳み込み
187]。逆畳み込み	使用すると
生成方法を	使用すると
レイヤーが	学習したかを
何を	学習したかを
学習したかを	確認し
確認し	示唆する
ネットワークが	学習しているかを
何を	学習しているかを
学習しているかを	示唆する
出力を	生成できる
過剰使用は	及ぼすと
情報が	均質化し
均質化し	依存し
既存物へ	依存し
依存し	生み出す
真新しさを	生み出す
創造性多様性個性が	失われ
悪影響を	及ぼすと
189][190]。また	発生すると
採用においても	提出する
採用応募者が	提出する
均質化が	発生すると
AI仕様により	発生すると
発生すると	される
それによって	止めて
書類選考を	止めて
応募者全員を	面接する
形式に	切り替える
企業が	増加した
バイアスを	含んだ
データから	学習すると
バイアスを	含む
存在に	気づかない
可能性が	ある
デプロイ方法によって	発生する
バイアスが	発生する
可能性が	ある
害を	及ぼす
可能性の	ある
決定を	下す
ために	使用される
バイアスを	含む
アルゴリズムが	使用される
差別を	引き起こす
可能性が	ある
28日	導入された
Googleフォトに	導入された
画像ラベル機能は	識別した
写真を	誤って
ゴリラと	識別した
画像が	含まれていない
データセットで	訓練されていた
不一致と	呼ばれる
ラベル付け自体を	防ぐ
ことで	修正した
問題を	修正した
2023年に	なっても
Googleフォトは	識別できず
ゴリラを	識別できず
識別できず	識別できなかった
プロダクトも	識別できなかった
被告が	再犯する
リスクを	評価する
ために	使用されている
裁判所で	使用されている
商用プログラムである	発見した
2016年	発見した
ジュリア・アングウィンは	発見した
プログラムでは	含まれていなかったにもかかわらず
入力値が	含まれていなかったにもかかわらず
COMPASが	示している
人種的偏見を	示している
ことを	発見した
発見した	異っていた
誤り率は	調整されたが
61%に	調整されたが
調整されたが	異っていた
実態は	異っていた
システムは	過大評価し
一貫して	過大評価し
再犯可能性を	過大評価し
再犯可能性を	過小評価していた
基本再犯率が	異なる
COMPASが	考えられる
公平性の	考えられる
尺度に	対応する
ことを	示した
データに	ある
問題の	ある
性別などが	記載されていない
明示的に	記載されていない
場合でも	ある
プログラムは	下す
バイアスを	含んだ
決定を	下す
可能性が	ある
特徴は	あり
名前などと	あり
相関関係が	あり
特徴に	基づいて
決定を	下す
公平性は	機能しないという
ことであると	述べた
保険会社ユナイテッドヘルスケアは	主張した
人工知能を	使用して
使用して	行った
自動化を	行った
11月に	提起された
ユナイテッドヘルスグループに対して	提起された
集団訴訟では	採用したと
同社が	持つ
誤り率を	持つ
AIモデルを	採用したと
意図的に	採用したと
採用したと	主張した
原告らは	主張した
ユナイテッドヘルスケアCEO射殺事件に	結び付けられた
1月	発表した
電力使用量を	予測する
レポートを	発表した
電力消費量を	予測した
レポートに	よると
電力需要は	倍増し
2026年までに	倍増し
倍増し	あるという
電力使用量は	あるという
電力使用量に	匹敵する
可能性が	あるという
原因であり	なっている
閉鎖を	遅らせる
可能性が	あり
促進が	懸念されている
208][25][209]。米国全土で	急増しており
建設が	急増しており
急増しており	なっている
Amazonなどは	なっている
消費者と	なっている
ため	懸念されている
関係なく	懸念されている
不足が	懸念されている
必要である	急いでいる
大手企業は	急いでいる
地熱発電	至るまで
核融合に	至るまで
確保を	急いでいる
テクノロジー企業は	主張しているが
長期的には	優しくなると
AIが	優しくなると
最終的に	優しくなると
環境に	優しくなると
電力網を	し
効率的で	し
インテリジェントに	し
成長を	助け
炭素排出量を	削減すると
削減すると	主張する
選択肢と	述べている
エヌビディアが	出資する
日本国内で	生成向け
ために	探し
土地を	探し
原子力発電所が	述べている
効率的で	適していると
電力で	適していると
向けに	適していると
1号機を	再稼働して
再稼働して	受ける
20年間にわたり	受ける
電力供給を	受ける
契約を	交わした
米電力大手コンステレーション・エナジー社と	交わした
[213]。その他にも	し
アマゾンが	動いている
電源として	動いている
電力購入に	動いている
[214]。しか	し
再生可能エネルギーを	利用した
拠点と	なっている
急増では	予測している
1世代で	見られなかった
成長を	経験する
2030年までに	消費すると
データセンターが	消費すると
8％を	消費すると
消費すると	予測している
予測している	ある
3％であり	増加しており
増加を	期待させる
電力需要は	増加しており
増加しており	ある
電力供給網が	達する
限界に	達する
可能性が	ある
AIを	使用する
ことで	活用できると
電力網を	活用できると
最大限に	活用できると
活用できると	主張している
政府が	使う
人工知能を	使う
ならず者国家などが	入れ
人工知能を	入れ
手に	入れ
それを	使って
悪事を	はたらく
リスクが	ある
自立型兵器により	殺害される
人類が	増える
操作	なくして
標的を	特定し
特定し	選択し
選択し	交戦する
人工知能ツールは	支持したが
脅威アクターによって	開発する
自律型兵器を	開発する
ために	使用される
可能性が	あり
大規模に	生産されれば
生産されれば	なる
大量破壊兵器と	なる
可能性が	ある
戦争で	使用された
場合でも	支持したが
標的を	特定できる
正確に	特定できる
人々を	殺害する
可能性が	ある
219]。2014年	支持したが
中国を	含む
30カ国が	支持したが
条約に	基づく
禁止を	支持したが
米国などが	同意しなかった
これに	同意しなかった
220]。2015年までに	行っていると
50カ国以上が	行っていると
研究を	行っていると
権威主義国家が	強める
監視を	強める
権威主義国家は	行ってしまう
人工知能ツールを	使用して
使用して	行ってしまう
"管理"（抑圧を	行ってしまう
効率的に	行ってしまう
顔認識音声認識により	入れる
国民監視を	入れる
手に	入れる
データを	利用した
機械学習により	奪う
敵"を	分類し
勝手に	分類し
分類し	奪う
国民を	追跡し
追跡し	奪う
プライバシーを	奪う
レコメンデーション・システムは	最大化する
情報を	広める
速度も	最大化する
最大化する	生み出す
生成AIを	使い誤った
情報を	生み出す
人工知能は	してしまう
意思決定を	してしまう
システムよりも	ある
競争力の	ある
ものに	してしまう
スパイウェアを	運用できるようになり
低コストで	運用できるようになり
運用できるようになり	利用可能になっており
テクノロジーは	利用可能になっており
2020年以前から	利用可能になっており
中国で	使用されている
監視に	使用されている
人工知能が	繋がる
支援に	繋がる
可能性は	あるが
他にも	あるが
中には	ある
ものも	ある
数時間で	できる
設計が	できる
リスクを	強調し
頻繁に	強調し
強調し	推測してきた
失業が	増加するのではないかと
増加するのではないかと	推測してきた
これまで	あったが
新技術は	あったが
総雇用を	増加する
減らすのではなく	増加する
傾向に	あったが
経済学者らは	あるという
人工知能に関しては	示されているが
領域に	いる
ことを	認めている
[227]。経済学者を	した
対象と	した
調査では	示されているが
使用増加が	引き起こすかどうかについては
増加を	引き起こすかどうかについては
相違が	示されているが
向上が	再分配されれば
再分配されれば	なる
純利益と	なる
可能性が	あるという
さまざまで	推定したが
2010年代	推定したが
カールベネディクト・フレイは	推定したが
47%が	あると
可能性により	あると
高リスクに	あると
9%のみを	分類した
高リスクに	分類した
雇用水準を	推測する
方法論は	ある
エビデンスに	基づく
根拠が	欠けており
社会政策ではなく	生み出すと
技術が	生み出すと
失業を	生み出すと
示唆しているとして	批判されている
波とは	異なり
仕事が	排除される
人工知能によって	排除される
可能性が	ある
2015年に	報告されていたが
産業革命時に	もたらしたように
蒸気機関が	もたらしたように
仕事に	もたらしたように
影響を	もたらしたように
もたらしたように	及ぼす
人工知能が	及ぼす
仕事に	及ぼす
影響を	及ぼす
可能性が	あるという
懸念は	報告されていたが
真剣に	受け止める
価値が	あると
4月	報告されていたが
ゲーム産業分野では	報告されていたが
70%が	失われたと
生成AIによって	失われたと
普及によって	増加すると
雇用が	増加すると
増加すると	主張した
ダロン・アセモグルは	予測している
人工知能は	繋がらず
向上には	繋がらず
