履歴を	表示
研究開発も	行われている
行われている	[26]。
詳細は	参照
汎用人工知能を	参照
Googleは	開始している
2011年以降	立ち上げ
AIの	基礎研究を
基礎研究を	行う
行う	GoogleBrainと
GoogleBrainと	呼ばれる
呼ばれる	専門組織を
専門組織を	立ち上げ
社内に	立ち上げ
立ち上げ	主導する
彼らが	主導する
主導する	形で
形で	創業した
カナダで	創業した
創業した	DNNResearchを
DNNResearchを	買収したり
買収したり	買収するなど
英国DeepMindを	買収するなど
買収するなど	投資を
国際人材獲得に	熱い
熱い	投資を
投資を	開始している
開始している	公開
2015年には	公開
TensorFlowといった	機械学習ライブラリを
機械学習ライブラリを	公開
オープンソースで	公開
公開	処理できるようにした
[35]GPUや	クラウド上も
クラウド上も	含め
含め	処理できるようにした
人工神経回路網の	重み学習工程を
重み学習工程を	処理できるようにした
計算グラフとして	処理できるようにした
処理できるようにした	使用された
翻訳や	検索
検索	音声認識
音声認識	写真分類といった
写真分類といった	アプリケーション構築に
アプリケーション構築に	使用された
TensorFlowが	使用された
使用された	[要出典]
Googleは	開発している
アレン脳科学研究所と	連携し
連携し	生まれた
脳スキャンによって	生まれた
生まれた	データを
大量の	データを
データを	処理する
処理する	ための
ための	ソフトウェアを
ソフトウェアを	開発している
開発している	大企業である
2016年の	時点で
時点で	大企業である
Googleが	管理している
管理している	Brainmapの
Brainmapの	データ量は
データ量は	大企業である
1ゼタバイトに	達する
達する	[
[	36][37]。Googleは
36][37]。Googleは	大企業である
ドイツの	マックスプランク研究所と
マックスプランク研究所と	始め
共同研究を	始め
始め	研究している
脳の	電子顕微鏡写真から
電子顕微鏡写真から	研究している
神経回路の	再構成を
再構成を	研究している
研究している	[38]。脳の
[38]。脳の	仕組みを
仕組みを	取り入れる
AIに	取り入れる
取り入れる	方向性から
方向性から	進めている
取り入れず	進めている
工学的な	発展アプローチまで
発展アプローチまで	進めている
幅広く	進めている
基礎研究を	進めている
進めている	大企業である
大企業である	[要出典]
また	[要出典]
基礎だけでなく	)も
応用実装(バイオから	核物理まで
核物理まで	)も
)も	幅広い
幅広い	[要出典]
詳細は	参照
ブレイン・イニシアチブを	参照
マイクロソフトは	[39]。
AIforGoodLab	AI研究所を
善き	AI研究所を
AI研究所を	設置し
設置し	提携している
eラーニングサービス	DeepLearning.AIと
DeepLearning.AIと	提携している
提携している	[39]。
中国は	[54]。
2016年の	第13次5か年計画から
第13次5か年計画から	位置づけ
AIを	位置づけ
国家プロジェクトに	位置づけ
位置づけ	推進している
[	40]、脳研究プロジェクトとして
40]、脳研究プロジェクトとして	推進している
中国脳計画	立ち上げ[
英語版も	立ち上げ[
立ち上げ[	41]、官民一体で
41]、官民一体で	推進している
AIの	研究開発を
研究開発を	推進している
推進している	[42]。中国の
[42]。中国の	教育機関では
教育機関では	よれば
18歳以下の	天才児を
天才児を	集めて
集めて	投じられてもいる
公然と	投じられてもいる
AI兵器の	開発に
開発に	投じられてもいる
投じられてもいる	[43]。マサチューセッツ工科大学(MIT)の
[43]。マサチューセッツ工科大学(MIT)の	エリック・ブリニョルフソン
エリック・ブリニョルフソン	情報技術イノベーション財団
英語版教授や	情報技術イノベーション財団
情報技術イノベーション財団	英語版などに
英語版などに	よれば
よれば	[54]。
中国では	あると
プライバシー意識の	強い
強い	欧米と
欧米と	比較して
比較して	あると
AIの	研究や
研究や	実験を
新技術の	実験を
実験を	しやすい
しやすい	環境に
環境に	あると
あると	されている
されている	[
[	44][45][46]。日本で
44][45][46]。日本で	推進している
スーパーコンピュータの	研究開発を
研究開発を	推進している
推進している	齊藤元章も
齊藤元章も	リードする
AIの	開発において
開発において	リードする
中国が	リードする
リードする	可能性を
可能性を	主張している
主張している	[47]。世界の
[47]。世界の	ディープラーニング用計算機の
ディープラーニング用計算機の	4分の3は
4分の3は	占めてると
中国が	占めてると
占めてると	される
される	[48]。米国政府に
[48]。米国政府に	よれば
よれば	[54]。
2013年から	あった
ディープラーニングに関する	論文数では
論文数では	あった
中国が	なっている
米国を	超えて
超えて	なっている
世界一と	なっている
なっている	[49]。FRVT
[49]。FRVT	大会でも
英語版や	ImageNetなど
ImageNetなど	AIの
AIの	大会でも
世界的な	大会でも
大会でも	独占している
中国勢が	独占している
上位を	独占している
独占している	[
[	50][51]。大手AI企業Google
50][51]。大手AI企業Google	マイクロソフト
マイクロソフト	Appleなどの
Appleなどの	幹部でも
幹部でも	あった
あった	台湾系アメリカ人科学者の
台湾系アメリカ人科学者の	李開復は
李開復は	[54]。
中国が	握りつつあると
AIで	握りつつあると
覇権を	握りつつあると
握りつつあると	する
する	英語版を
AI超大国中国	シリコンバレーと
シリコンバレーと	新世界秩序
新世界秩序	英語版を
英語版を	著して
著して	取り上げ
アメリカの	メディアなどが
政界や	メディアなどが
メディアなどが	取り上げ
取り上げ	[54]。
[	52][53]、新冷戦の
52][53]、新冷戦の	延長として
延長として	[54]。
米中の	AI技術競争は
AI技術競争は	[54]。
人工知能冷戦	呼ばれた
英語版とも	呼ばれた
呼ばれた	[54]。
フランス大統領エマニュエル・マクロンは	招致した
AI分野の	開発支援に
開発支援に	向け
向け	支出すると
5年で	支出すると
15億ドルを	支出すると
支出すると	宣言し
宣言し	開き
[	55]、AI研究所を
55]、AI研究所を	開き
パリに	開き
開き	招致した
フェイスブック	グーグル
グーグル	サムスン
サムスン	DeepMind
DeepMind	富士通などを
富士通などを	招致した
招致した	決定されている
イギリスとも	連携も
AI研究における	連携も
長期的な	連携も
連携も	決定されている
決定されている	世界トップ4[56]。
EU全体としても	作られた
Horizon2020計画を通じて	方向
215億ユーロが	投じられる
投じられる	方向
方向	する
韓国は	する
20億ドルを	2022年までに
2022年までに	する
投資を	する
する	作られた
6つの	AI機関を
AI機関を	設立し
設立し	作られた
褒賞制度も	作られた
作られた	世界トップ4[56]。
目標は	世界トップ4[56]。
2022年までに	世界トップ4[56]。
AIの	世界トップ4[56]。
日経新聞調べに	よると
よると	進めてきた
国別の	AI研究論文数は
AI研究論文数は	進めてきた
1位	2位中国
米国	2位中国
2位中国	3位インド
3位インド	日本は
日本は	進めてきた
7位だった	[57]。東京大学を
[57]。東京大学を	はじめ
はじめ	進めてきた
工科大学	富士通といった
その他	富士通といった
NTTデータや	富士通といった
富士通といった	民間企業が
民間企業が	進めてきた
AIの	技術開発を
技術開発を	進めてきた
進めてきた	ある
ニューラルネットの	基礎研究では
基礎研究では	切っていた
かつて	切っていた
先陣を	切っていた
切っていた	ものの
ものの	ある
その後の	米国による
米国による	深層学習再興には
深層学習再興には	乗り遅れたという
乗り遅れたという	指摘が
指摘が	ある
ソフトバンクグループ	SBG
2025年	1月
1月	[59]。
ソフトバンクグループ	SBGの
SBGの	孫正義は
孫正義は	[59]。
アメリカの	OpenAIと
OpenAIと	共同会社
共同会社	スターゲートを
スターゲートを	設立し
設立し	就任し
孫が	就任し
その	会長に
会長に	就任し
就任し	投資し
当初	1千億ドル
1千億ドル	約15.5兆円を
約15.5兆円を	投資し
投資し	発表した
アメリカの	テキサス州に
テキサス州に	使う
AI開発に	使う
使う	データーセンターの
データーセンターの	建設を
建設を	発表した
予定と	発表した
発表した	[59]。
その後に	展開し
他地域にも	展開し
展開し	増やす
4年間で	増やす
投資額を	増やす
最大で	増やす
5千億ドル	77.8兆円に
77.8兆円に	増やす
増やす	見込みという
見込みという	[
[	58]。2025年
58]。2025年	2月
2月	[59]。
ソフトバンクグループと	OpenAIは
OpenAIは	[59]。
企業向けAIの	クリスタルインテリジェンス
クリスタルインテリジェンス	開発販売に関する
Cristalintelligenceの	開発販売に関する
開発販売に関する	パートナーシップおよび
パートナーシップおよび	提供してゆく
世界に	提供してゆく
さきがけ日本国内で	提供してゆく
提供してゆく	ことを
ことを	発表した
発表した	[59]。
人工知能が	して
突如と	して
して	成長する
爆発的に	成長する
成長する	中
中	[60]。
人間の	ために
ために	役立つ
役立つ	人工知能という
人工知能という	考え方も
考え方も	重要になっている
これまで	以上に
以上に	重要になっている
重要になっている	[60]。
機械学習や	深層学習は
深層学習は	活用されている
特化型AI	活用されている
ArtificialNarrowIntelligenceANIとして	活用されている
自然科学や	工学の
工学の	領域で
領域で	活用されている
活用されている	事例である
以下に	列挙するのは
列挙するのは	事例である
高度な	事例である
事例である	[要出典]
タンパク質の	折り畳みの
折り畳みの	高精度予測[61]
自然言語処理による	RNAコドン配列の
RNAコドン配列の	解析[62]
気象物理過程式の	パラメータ逆推定および
パラメータ逆推定および	最適統合[63]
気象モデルの	最適統合[63]
プレート境界の	摩擦パラメータ推定
摩擦パラメータ推定	すべり量
すべり量	発生サイクルを
発生サイクルを	学習させる
学習させる	ことによる
ことによる	地震発生時期の
地震発生時期の	予測[64]
iPS細胞の	生死などの
生死などの	状態
状態	未分化
分化と	未分化
未分化	非標識判別[65]
がん化などの	非標識判別[65]
膨大な	論文公開特許から
論文公開特許から	抽出し
化合物の	製法を
物性値や	製法を
製法を	抽出し
抽出し	知識ベース化できる
知識ベース化できる	化学検索エンジン[
化学検索エンジン[	66]
薬剤	分子探索
分子探索	自動提案[67]
活性化合物構造の	自動提案[67]
宇宙の	大規模構造の
大規模構造の	偏りを
偏りを	もたらした
もたらした	初期の
初期の	物理パラメータを
物理パラメータを	推定
推定	68]
宇宙全体の	3Dシミュレーションの
3Dシミュレーションの	効率化[
効率化[	68]
画像分類CNNを	使用した
使用した	マウス脳神経の
マウス脳神経の	自動分類
自動分類	回路自動マッピング[69]
GANと	回帰モデルによる
回帰モデルによる	添加剤)の
複雑材料系(充填剤や	添加剤)の
添加剤)の	特性予測[70]
CAD設計手法の	一つである
一つである	トポロジー最適化における
トポロジー最適化における	抽出[71]
制約条件と	解析結果の
解析結果の	因果関係の
因果関係の	抽出[71]
第一原理計算(DFT計算)よりも	再現できる
10万倍以上	高速な
高速な	任意の
55元素の	任意の
任意の	組み合わせの
組み合わせの	原子構造を
原子構造を	再現できる
高い	精度で
精度で	再現できる
再現できる	原子シミュレーターを
原子シミュレーターを	用いた
用いた	材料探索[72]
流体力学の	方程式を
方程式を	使わない
使わない	流体シミュレーション[73]
医療診断用視覚言語モデル[	74]
ロボットの	動作生成[75]
科学的再現性の	危機の
危機の	解決
解決	再現しない
つまり	再現しない
科学論文に	しても
意図的に	しても
嘘	しても
再現実験を	しても
しても	再現しない
再現しない	ことが
ことが	書かれている
書かれている	場合に
場合に	見抜く
それを	見抜く
見抜く	ための
ための	分析[76]
論文の	正確性と
正確性と	分析[76]
透明性の	分析[76]
コーディング	プログラミングの
プログラミングの	自動化[
自動化[	77]
医療現場では	活用されており
AIが	活用されており
多く	活用されており
活用されており	画像診断と
最も	早く
早く	導入されたのは
導入されたのは	画像診断と
画像診断と	言われている
言われている	役立っている
レントゲンや	MRI画像の
MRI画像の	異常部分を
異常部分を	検知する
検知する	ことで
ことで	役立っている
病気の	見逃し発見と
見逃し発見と	役立っている
早期発見に	役立っている
役立っている	進んでいる
また	進んでいる
AIが	解析できる
カルテの	記載内容や
記載内容や	問診結果などを
患者の	問診結果などを
問診結果などを	解析できる
解析できる	よう
よう	進んでいる
自然言語処理技術の	発展も
発展も	進んでいる
進んでいる	[78]。
今後は	[78]。
ゲノム解析による	疾病診断
疾病診断	自動作成
レセプトの	自動作成
自動作成	開発などが
新薬の	開発などが
開発などが	行える
行える	よう
よう	期待されている
期待されている	[78]。
また	[79]。
症例が	少ない
少ない	希少疾患の
希少疾患の	場合
場合	[79]。
患者の	個人情報の
個人情報の	保護が
保護が	重要になる
重要になる	ため
ため	行われている
データを	暗号化した
暗号化した	状態で
状態で	行う
統計解析を	行う
行う	秘密計算技術に
秘密計算技術に	活用して
AIを	活用して
活用して	行える
データの	前処理
前処理	学習
学習	推論を
推論を	行える
行える	ことを
ことを	目指す
目指す	研究が
研究が	行われている
行われている	[79]。
健康管理における	人工知能
人工知能	英語:artificial_intelligence_in_healthcareおよび
英語:artificial_intelligence_in_healthcareおよび	参照
メドテック	英語:medtechも
英語:medtechも	参照
計算神経科学や	人工知能の
人工知能の	産物である
産物である	大規模言語モデルは
ChatGPTと	同様の
同様の	大規模言語モデルは
大規模言語モデルは	80][81]。
逆に	寄与している
今	寄与している
脳神経科学研究の	理解に
理解に	寄与している
寄与している	[
[	80][81]。
ブレイン・イニシアチブ	BlueBrain
BlueBrain	参照
および	参照
計算神経科学も	参照
AIを	搭載した
搭載した	収穫ロボットを
収穫ロボットを	導入する
導入する	ことで
ことで	可能になる
重労働である	農作業の
農作業の	負担を
負担を	減らしたり
減らしたり	見つけだして
病害虫が	発生している
発生している	個所を
個所を	見つけだして
AIで	見つけだして
ピン	見つけだして
ポイントで	見つけだして
見つけだして	抑えたりする
農薬散布量を	抑えたりする
必要最小限に	抑えたりする
抑えたりする	ことが
ことが	可能になる
可能になる	[82]。
AIで	予測できれば
事前に	予測できれば
収穫量を	予測できれば
正確に	予測できれば
予測できれば	[82]。
出荷量の	調整にも
調整にも	役立つ
役立つ	[82]。
Googleは	開発
農作物の	スキャニングと
スキャニングと	成長記録を
成長記録を	行う
行う	農業AIロボット
農業AIロボット	DonRovertoを
DonRovertoを	開発
開発	[83]。
苗ひとつひとつの	個体識別を
個体識別を	行い
行い	繰り返す
各苗の	成長記録を
成長記録を	とり
とり	繰り返す
実験を	繰り返す
繰り返す	ことで
ことで	学習し
学習し	見るだけで
苗を	見るだけで
ひと眼	見るだけで
見るだけで	耐えられる
厳しい	環境下でも
環境下でも	耐えられる
耐えられる	気候変動に
気候変動に	見つけ出せる
強い	種を
種を	見つけ出せる
瞬時に	見つけ出せる
見つけ出せる	[83]。
世界的な	社会貢献の
関心や	社会貢献の
社会貢献の	観点からも
観点からも	[84]。
人工知能は	[84]。
国連が	推進する
推進する	開発目標(SDGs)の
持続可能な	開発目標(SDGs)の
開発目標(SDGs)の	達成に
達成に	貢献する
貢献する	[84]。
スマート農業	E-agriculture
E-agriculture	参照
および	参照
アグリテック	英語:AgriTechも
英語:AgriTechも	参照
人間の	援助
2022年	秋に
秋に	公開されて以来
大規模言語モデルによる	生成AIの
生成AIの	ChatGPTが
ChatGPTが	公開されて以来
公開されて以来	可能になった
人と	会話して
会話して	援助する
人を	援助する
援助する	ことが
ことが	可能になった
可能になった	[85]。
生成AIは	模倣しようとするが
人間を	模倣しようとするが
模倣しようとするが	[85]。
質の	高い
高い	返答を
返答を	生成させるには
生成させるには	必要であり
質問する	側の
側の	人間が
人間が	する
あらかじめ	する
言葉で	する
詳細な	指示を
指示を	する
する	ことが
ことが	必要であり
必要であり	プロンプトエンジニアリングであり
その	指示を
指示を	作文する
作文する	技術が
技術が	プロンプトエンジニアリングであり
プロンプトエンジニアリングであり	技術であり
生成AIが	機能する
人間の	期待どおりに
期待どおりに	機能する
機能する	よう
よう	作文する
入力テキストを	作文する
作文する	技術であり
技術であり	[85]。
そこには	[85]。
創造性と	試行錯誤する
試行錯誤する	ことも
ことも	含まれる
含まれる	[85]。
2023年	10月
10月	86][87]。
ネイチャー誌で	86][87]。
ウィキペディアの	信頼性が
信頼性が	向上する
人工知能によって	向上する
ついに	向上する
向上する	可能性が
可能性が	示された
示された	[
[	86][87]。
児童の	サポート
子どもの	ネット上の
ネット上の	安全に
安全に	入れる
人工知能を	入れる
入れる	ことは
ことは	88][89]。
国連や	欧州連合で
欧州連合で	注目されている
継続的に	注目されている
注目されている	[
[	88][89]。
2歳児の	失読症の
失読症の	診断など
診断など	発達にも
子どもの	発達にも
発達にも	寄与している
寄与している	[90]。
米国アルファベット社傘下の	ウェイモは
ウェイモは	状態だったが
2021年から	運行しており
カリフォルニア州サンフランシスコで	運行しており
24時間365日	営業の
営業の	自動運転タクシーを
自動運転タクシーを	運行しており
運行しており	開始していた
[91]、同じく	開始していた
カリフォルニア州で	開始していた
2023年	4月には
4月には	開始していた
一般向け自動運転シャトルバスの	プロジェクトの
プロジェクトの	運行を
運行を	開始していた
すでに	開始していた
開始していた	92]。2019年は
[	92]。2019年は
92]。2019年は	状態だったが
60社近くの	開発企業が
開発企業が	保有していた
自動運転車の	試験許可を
試験許可を	保有していた
保有していた	状態だったが
状態だったが	遅れぎみだが
ウェイモなど	数社の
数社の	企業が
企業が	成功して
巨額の	資金調達に
資金調達に	成功して
成功して	突き放し
他社を	突き放し
突き放し	完了した
その上で	完了した
実験段階も	完了した
完了した	ことで
ことで	遅れぎみだが
2024年には	激減し
すでに	激減し
実験走行は	激減し
激減し	遅れぎみだが
すでに	入っている
自動運転車開発運用企業の	統合や
統合や	時代に
分別の	時代に
時代に	入っている
入っている	[93]。日本は
[93]。日本は	遅れぎみだが
遅れぎみだが	成功した
2023年	4月に
4月に	解禁され
自動車の	レベル4の
レベル4の	自動運転
自動運転	走行が
一定条件下で	自動化した
完全に	自動化した
自動化した	公道での
公道での	走行が
走行が	解禁され
一部で	解禁され
解禁され	成功した
福井県永平寺町では	成功した
実証実験に	成功した
成功した	[94]。
2023年現在	用いた
人工知能を	用いた
用いた	サービスが
サービスが	浸透してきている
日常生活に	浸透してきている
浸透してきている	なっている
PCや	スマートフォンの
スマートフォンの	画像認識による
画像認識による	音声認識による
生体認証や	音声認識による
音声認識による	アシスタント機能は
アシスタント機能は	なっている
すでに	なっている
普通の	サービスと
サービスと	なっている
なっている	普及してきている
AIスピーカーも	普及してきている
普及してきている	ある
人工知能は	ある
台風被害の	予測
予測	支援
地震被災者の	支援
支援	把握などにも
健康の	ための
ための	大気汚染の
大気汚染の	把握などにも
把握などにも	応用されている
応用されている	[39]。しか
[39]。しか	し
し	導入された
導入された	AIアルゴリズムは
単純な	AIアルゴリズムは
AIアルゴリズムは	ある
後に	呼ばれなくなる
AIと	呼ばれなくなる
呼ばれなくなる	傾向が
傾向が	ある
ある	ある
これをAI効果と	呼ぶ
呼ぶ	ことも
ことも	ある
ある	[要出典]
音楽と	人工知能
人工知能	英語版を
英語版を	参照
音楽分野は	登場している
既存の	曲を
曲を	学習する
学習する	ことで
ことで	登場している
特定の	作曲家の
作曲家の	作風を
作風を	真似て
真似て	作曲する
作曲する	自動作曲ソフトが
自動作曲ソフトが	登場している
登場している	している
リズムゲームに	使われる
使われる	タッチ位置を
タッチ位置を	示した
示した	譜面を
譜面を	自動生成するなど
楽曲から	自動生成するなど
自動生成するなど	特化した
分野に	特化した
特化した	システムも
システムも	開発されている
開発されている	[95]。特定の
[95]。特定の	音声を
音声を	学習させて
学習させて	代替したり
声優の	仕事を
仕事を	代替したり
代替したり	歌わせたりなどが
[	96]、特定の
96]、特定の	キャラクターや
キャラクターや	歌手などの
歌手などの	声で
声で	歌わせたりなどが
歌わせたりなどが	行われており
行われており	している
規制や	ルール作りなどの
ルール作りなどの	必要性が
必要性が	議論されている
議論されている	[
[	97][98][99]。前述した
97][98][99]。前述した	音声学習を
音声学習を	用いて
用いて	取り出す
1つの	トラックから
トラックから	取り出す
特定の	歌声を
楽器や	歌声を
歌声を	取り出す
取り出す	デミックスと
デミックスと	呼ばれる
呼ばれる	技術も
技術も	登場し
登場し	している
[	ビートルズなどは
100]、ビーチ・ボーイズや	ビートルズなどは
ビートルズなどは	している
これを	活用して
活用して	リミックスして
トラック数の	少ない
少ない	時代の
時代の	楽曲を
楽曲を	リミックスして
リミックスして	作成したり
新たな	ステレオミックスを
ステレオミックスを	作成したり
作成したり	破棄されたり
[	101][102]、セッションテープが
101][102]、セッションテープが	破棄されたり
破棄されたり	あり
マルチテープの	音源に
音源に	あり
欠落が	あり
あり	存在しなかった
モノラルしか	存在しなかった
存在しなかった	楽曲の
楽曲の	ステレオ化を
ステレオ化を	するなど
するなど	している
している	103][104]。
2023年に	発表した
ビートルズが	発表した
発表した	シングル
シングル	ナウ・アンド・ゼンでは
ナウ・アンド・ゼンでは	103][104]。
ジョン・レノンが	録音した
1970年代に	録音した
録音した	カセットテープから
カセットテープから	抽出するのに
ボーカルを	抽出するのに
抽出するのに	使われた
使われた	[
[	103][104]。
画像生成の	技術としては
技術としては	存在する
VAE	GAN
GAN	拡散モデルといった
拡散モデルといった	分けて
大きく	分けて
分けて	存在する
三種類が	存在する
存在する	[109]。
絵画分野においては	[109]。
コンセプトアート用背景や	アニメーションの
アニメーションの	中割の
中割の	自動生成
自動生成	自動彩色など
モノクロ漫画の	自動彩色など
自動彩色など	作業を
人間の	作業を
作業を	補助する
補助する	AIが
AIが	実現している
実現している	[
[	105][106][107]。AIに
105][106][107]。AIに	指定した
自然言語で	指定した
指定した	イラスト生成させる
イラスト生成させる	サービス
サービス	登場している
StableDiffusionなども	登場している
登場している	[108]。このような
[108]。このような	人工知能を
人工知能を	利用して
利用して	制作された
制作された	絵画は
絵画は	[109]。
人工知能アート(Artificialintelligenceart)」と	呼ばれているが
呼ばれているが	[109]。
教師データとして	利用された
利用された	著作物の
著作物の	知的財産権などを
知的財産権などを	巡り
巡り	広がっている
深刻な	懸念が
懸念が	広がっている
広がっている	[109]。
人工知能は	[111]。
絶滅危惧言語や	生物多様性の
生物多様性の	保護にも
保護にも	応用されている
応用されている	[39]。学術的に
[39]。学術的に	構造化された
構造化された	文献レビューとして
文献レビューとして	される
通常質の	高い
高い	証拠と
証拠と	される
